post_id,slug,url,status,title,title_len,meta_len,focus_kw,words,sentences,paragraphs,reading_time_min,h2_count,h3_count,has_sources_head,has_faq,has_summary,has_misconception,has_lead,img_total,img_missing_alt,img_empty_alt,img_bad_name,featured_set,featured_alt,featured_w,featured_h,internal_unique,external_unique,broken_n,draft_targets_n,authority_hits,inbound,schema,pubDate,post_date,post_modified,score_A,score_B,score_C,score_D,score_E,score_F,score_G,score_total,grade,issue_n,issue_high,issue_weight,fix_priority
3527,simon-algorithm,https://qpedia.ir/simon-algorithm/,publish,الگوریتم سایمون؛ پیدا‌کردن دوره پنهان با تداخل کوانتومی,55,0,,398,35,17,2.0,8,0,True,True,True,False,False,0,0,0,0,False,False,0,0,3,4,0,0,4,0,False,"Mon, 21 Sep 2026 05:44:54 +0000",2026-09-21 09:14:54,2026-09-21 09:14:54,9,1,18,7,16,6,2,59,yellow,7,3,23,88.1
512,quantum-cryptography-internet-security,https://qpedia.ir/quantum-cryptography-internet-security/,publish,رمزنگاری کوانتومی و آیندهٔ امنیت اینترنت,40,116,رمزنگاری کوانتومی آیندهٔ امنیت اینترنت,1060,60,21,5.3,9,0,False,False,True,False,False,0,0,0,0,False,False,0,0,0,0,0,0,0,21,False,"Wed, 02 Sep 2026 23:41:54 +0000",2026-09-03 03:11:54,2026-09-03 03:11:55,15,5,16,7,8,8,2,61,yellow,10,1,24,85.8
303,vacuum-fluctuations,https://qpedia.ir/vacuum-fluctuations/,publish,نوسانات خلأ,11,104,نوسانات خلأ,785,68,29,3.9,6,9,False,False,True,False,True,0,0,0,0,False,False,0,0,0,0,0,0,0,12,False,"Sat, 22 Aug 2026 20:59:03 +0000",2026-08-23 00:29:03,2026-09-03 03:46:40,14,8,14,7,8,8,4,63,yellow,9,1,21,75.8
575,quantum-understanding-achievement,https://qpedia.ir/quantum-understanding-achievement/,publish,چرا «نفهمیدنِ درست» کوانتوم، خودش یک دستاورد است؟,49,106,نفهمیدنِ درست کوانتوم، خودش یک,880,46,12,4.4,7,0,True,True,False,False,False,0,0,0,0,True,True,1670,942,2,0,1,0,0,3,False,"Wed, 02 Sep 2026 23:32:34 +0000",2026-09-03 03:02:34,2026-09-03 03:03:20,15,5,14,15,6,8,0,63,yellow,9,1,21,75.8
569,superposition-explained,https://qpedia.ir/superposition-explained/,publish,برهم نهی چیست؟ وقتی یک ذره «هم این است هم آن»,45,111,برهم نهی وقتی یک ذره,832,46,11,4.2,6,0,True,True,False,False,False,0,0,0,0,False,False,0,0,8,0,0,0,0,2,False,"Wed, 02 Sep 2026 23:31:36 +0000",2026-09-03 03:01:36,2026-09-03 03:01:37,15,5,14,7,13,8,0,62,yellow,8,1,18,72.2
570,why-large-objects-dont-superpose,https://qpedia.ir/why-large-objects-dont-superpose/,publish,برهم نهی یعنی چه، و چرا اشیای بزرگ برهم نهی نمی شوند,52,105,برهم نهی ، اشیای بزرگ,861,46,11,4.3,7,0,True,True,False,False,False,0,0,0,0,False,False,0,0,3,0,0,0,0,1,False,"Wed, 02 Sep 2026 23:18:36 +0000",2026-09-03 02:48:36,2026-09-03 02:48:36,15,5,14,7,13,8,0,62,yellow,8,1,18,72.2
2844,grw-collapse,https://qpedia.ir/grw-collapse/,publish,تفسیر GRW یا فروپاشی خودبه خودی,31,153,تفسیر GRW فروپاشی خودبه خودی,1021,58,16,5.1,0,2,True,False,False,False,False,1,0,0,0,True,True,1670,942,0,2,0,0,2,4,False,"Tue, 15 Sep 2026 02:00:35 +0000",2026-09-15 05:30:35,2026-09-19 04:25:46,16,5,12,16,9,8,0,66,yellow,10,0,20,68.0
562,brain-quantum-phenomena,https://qpedia.ir/brain-quantum-phenomena/,publish,آیا مغز انسان از پدیده های کوانتومی استفاده می کند؟ (بررسی ادعاها),66,113,مغز انسان پدیده های کوانتومی,920,50,15,4.6,7,0,True,True,False,False,False,0,0,0,0,True,True,1670,942,4,0,1,0,0,2,False,"Wed, 02 Sep 2026 23:20:05 +0000",2026-09-03 02:50:05,2026-09-18 02:49:40,14,5,16,15,9,8,0,67,yellow,9,1,21,67.6
2093,quantum-learning-resources,https://qpedia.ir/quantum-learning-resources/,publish,منابع معتبر فارسی و انگلیسی برای یادگیری عمیق‌تر کوانتوم,56,118,منابع معتبر فارسی انگلیسی یادگیری,820,47,11,4.1,8,0,True,True,False,False,False,0,0,0,0,False,False,0,0,5,3,0,0,2,0,False,"Wed, 02 Sep 2026 17:36:29 +0000",2026-09-02 21:06:29,2026-09-03 02:33:37,15,5,18,7,16,6,0,67,yellow,8,1,18,62.7
306,superfluidity,https://qpedia.ir/superfluidity/,publish,ابرشارگی؛ مایعی که از لیوان بالا می‌رود,39,109,ابرشارگی مایعی لیوان بالا می,715,58,24,3.6,7,7,False,False,True,False,True,0,0,0,0,True,True,1672,940,0,0,0,0,0,3,False,"Sat, 22 Aug 2026 20:59:03 +0000",2026-08-23 00:29:03,2026-09-03 03:44:31,15,5,14,15,8,8,4,69,yellow,9,0,19,60.4
320,enzyme-quantum-tunneling,https://qpedia.ir/enzyme-quantum-tunneling/,publish,آنزیم‌ها؛ عبور از دیوار به‌جای پریدن,36,101,آنزیم ها عبور دیوار جای,876,65,32,4.4,8,6,False,False,True,False,True,0,0,0,0,True,True,1671,941,0,0,0,0,0,6,False,"Sat, 22 Aug 2026 22:23:18 +0000",2026-08-23 01:53:18,2026-09-03 03:20:03,15,5,14,15,8,8,4,69,yellow,9,0,19,60.4
319,quantum-smell,https://qpedia.ir/quantum-smell/,publish,حس بویایی؛ شکل یا ارتعاش؟,25,114,حس بویایی شکل ارتعاش,793,51,29,4.0,7,6,False,False,True,False,True,0,0,0,0,True,True,1670,942,0,0,0,0,0,2,False,"Wed, 02 Sep 2026 23:49:19 +0000",2026-09-03 03:19:19,2026-09-03 03:19:20,15,5,14,15,8,8,4,69,yellow,9,0,19,60.4
511,quantum-alternative-medicine-science,https://qpedia.ir/quantum-alternative-medicine-science/,publish,کوانتوم و پزشکی,15,108,کوانتوم پزشکی,841,50,17,4.2,6,3,False,False,True,False,False,0,0,0,0,True,True,1670,942,2,0,0,0,0,5,False,"Wed, 02 Sep 2026 23:59:13 +0000",2026-09-03 03:29:13,2026-09-03 03:29:14,15,5,14,15,10,8,2,69,yellow,9,0,19,60.4
574,quantum-analogy-exercise-boundary,https://qpedia.ir/quantum-analogy-exercise-boundary/,publish,تمرین ذهنی: خودتان یک تمثیل بسازید و مرزش را پیدا کنید,54,112,تمرین ذهنی خودتان یک تمثیل,817,46,11,4.1,6,0,True,True,False,False,False,0,0,0,0,True,True,1672,940,2,0,0,0,0,1,False,"Tue, 01 Sep 2026 05:31:13 +0000",2026-09-01 09:01:13,2026-09-03 03:57:14,15,5,14,15,10,8,0,67,yellow,8,0,16,59.4
2249,fiber-optics,https://qpedia.ir/fiber-optics/,publish,فیبر نوری چگونه کار می‌کند؟,27,158,فیبر نوری کار می,473,28,11,2.4,8,0,True,True,True,False,False,0,0,0,0,True,True,1670,942,5,1,1,0,1,5,False,"Thu, 03 Sep 2026 17:01:16 +0000",2026-09-03 20:31:16,2026-09-19 04:42:49,16,5,16,15,10,8,2,72,yellow,8,2,22,58.8
316,everything-is-energy-claim,https://qpedia.ir/everything-is-energy-claim/,publish,«همه‌چیز انرژی است» — بررسی یک ادعا,35,121,همه چیز انرژی — بررسی,822,68,31,4.1,7,10,False,False,True,False,True,0,0,0,0,True,True,1670,942,0,0,0,0,0,5,False,"Sat, 22 Aug 2026 22:03:42 +0000",2026-08-23 01:33:42,2026-09-03 03:52:21,16,5,14,15,8,8,4,70,yellow,9,0,19,58.5
314,transistor-quantum,https://qpedia.ir/transistor-quantum/,publish,ترانزیستور؛ کوانتوم در جیب شما,30,123,ترانزیستور کوانتوم جیب شما,725,61,28,3.6,7,6,False,False,True,False,True,0,0,0,0,True,True,1670,942,0,0,0,0,0,8,False,"Wed, 02 Sep 2026 23:55:00 +0000",2026-09-03 03:25:00,2026-09-03 03:25:01,16,5,14,15,8,8,4,70,yellow,9,0,19,58.5
315,atomic-clock-gps,https://qpedia.ir/atomic-clock-gps/,publish,ساعت اتمی و جی‌پی‌اس,20,125,ساعت اتمی جی پی اس,825,57,30,4.1,8,5,False,False,True,False,True,0,0,0,0,True,True,1670,941,0,0,0,0,0,6,False,"Wed, 02 Sep 2026 23:55:44 +0000",2026-09-03 03:25:44,2026-09-03 03:25:44,16,5,14,15,8,8,4,70,yellow,9,0,19,58.5
514,mri-quantum,https://qpedia.ir/mri-quantum/,publish,ام‌آرآی (MRI) چگونه کار می‌کند؟ ریشهٔ کوانتومی آن,49,120,ام آرآی (MRI) کار می,898,54,19,4.5,7,0,False,False,True,False,False,0,0,0,0,True,True,1671,941,1,0,0,0,0,6,False,"Wed, 02 Sep 2026 23:59:58 +0000",2026-09-03 03:29:58,2026-09-03 03:29:58,16,5,14,15,10,8,2,70,yellow,9,0,19,58.5
2255,stellar-fusion,https://qpedia.ir/stellar-fusion/,publish,همجوشی ستارگان چگونه ممکن است؟,30,155,همجوشی ستارگان,509,29,11,2.5,8,0,True,True,True,False,False,0,0,0,0,False,False,0,0,5,1,0,0,1,2,False,"Thu, 03 Sep 2026 17:00:44 +0000",2026-09-03 20:30:44,2026-09-03 20:30:44,16,7,16,7,14,8,2,70,yellow,7,2,19,58.5
3364,quantum-solipsism,https://qpedia.ir/quantum-solipsism/,publish,سولیپسیسم کوانتومی؛ آیا مکانیک کوانتومی فقط تجربهٔ شخصی را واقعی می‌داند؟,73,132,سولیپسیسم کوانتومی,399,33,17,2.0,8,0,True,True,True,False,False,0,0,0,0,True,True,1200,675,1,4,2,0,3,0,True,"Mon, 21 Sep 2026 05:44:54 +0000",2026-09-21 09:14:54,2026-09-21 09:14:54,14,10,18,15,9,6,2,74,yellow,7,3,25,58.5
566,quantum-career-future-learn,https://qpedia.ir/quantum-career-future-learn/,publish,آینده شغلی: آیا باید فیزیک کوانتوم یاد بگیریم؟,46,97,آینده شغلی باید فیزیک کوانتوم,828,46,14,4.1,6,0,True,True,False,False,False,0,0,0,0,True,True,1670,942,5,0,0,0,0,3,False,"Tue, 01 Sep 2026 05:31:13 +0000",2026-09-01 09:01:13,2026-09-01 09:01:13,13,5,14,15,13,8,0,68,yellow,8,0,16,57.6
564,does-quantum-prove-god,https://qpedia.ir/does-quantum-prove-god/,publish,آیا کوانتوم ثابت می کند خدا وجود دارد یا ندارد؟,47,114,کوانتوم ثابت می خدا وجود,877,53,12,4.4,6,0,True,True,False,False,False,0,0,0,0,True,True,1670,942,4,0,0,0,0,0,False,"Wed, 02 Sep 2026 23:33:59 +0000",2026-09-03 03:03:59,2026-09-03 03:03:59,15,5,14,15,13,6,0,68,yellow,8,0,16,57.6
302,quantum-zeno-effect,https://qpedia.ir/quantum-zeno-effect/,publish,اثر زنون کوانتومی,17,119,اثر زنون کوانتومی,686,55,25,3.4,7,5,False,False,True,False,True,0,0,0,0,True,True,1672,940,0,0,0,0,0,0,False,"Sat, 22 Aug 2026 20:59:03 +0000",2026-08-23 00:29:03,2026-09-03 03:47:28,15,8,14,15,8,6,4,70,yellow,8,0,18,57.0
518,spot-pseudoscience-one-sentence,https://qpedia.ir/spot-pseudoscience-one-sentence/,publish,چگونه ادعای شبه‌علمی را در یک جمله تشخیص دهیم,45,108,ادعای شبه علمی یک جمله,940,51,18,4.7,8,0,False,False,True,False,False,0,0,0,0,True,True,1670,942,1,0,0,0,0,15,False,"Wed, 02 Sep 2026 23:43:24 +0000",2026-09-03 03:13:24,2026-09-03 03:13:24,15,5,16,15,10,8,2,71,yellow,9,0,19,56.5
3391,quantum-culture,https://qpedia.ir/quantum-culture/,publish,فرهنگ کوانتومی؛ وقتی زبان فیزیک وارد جامعه می‌شود,49,132,فرهنگ کوانتومی,381,33,17,1.9,8,0,True,True,True,False,False,0,0,0,0,True,True,1200,675,0,4,3,0,4,0,True,"Mon, 21 Sep 2026 01:17:55 +0000",2026-09-21 04:47:55,2026-09-21 04:47:55,18,10,18,15,7,6,2,76,red,7,4,27,56.4
3393,quantum-winter,https://qpedia.ir/quantum-winter/,publish,زمستان کوانتومی؛ اگر سرمایه و اعتماد از فناوری عقب‌نشینی کنند,61,127,زمستان کوانتومی,377,31,17,1.9,8,0,True,True,True,False,False,0,0,0,0,True,True,1200,675,0,4,3,0,3,0,True,"Mon, 21 Sep 2026 01:18:13 +0000",2026-09-21 04:48:13,2026-09-21 04:48:13,18,10,18,15,7,6,2,76,red,7,4,27,56.4
292,quantum-spin,https://qpedia.ir/quantum-spin/,publish,اسپین؛ چرخشی که چرخش نیست,25,121,اسپین چرخشی چرخش نیست,929,73,29,4.6,7,5,False,False,True,False,True,0,0,0,0,True,True,1672,941,0,0,0,0,0,28,False,"Thu, 03 Sep 2026 00:08:01 +0000",2026-09-03 03:38:01,2026-09-03 03:38:01,16,5,16,15,8,8,4,72,yellow,9,0,19,54.6
293,energy-levels,https://qpedia.ir/energy-levels/,publish,ترازهای انرژی و کوانتش,22,126,ترازهای انرژی کوانتش,900,70,29,4.5,7,6,False,False,True,False,True,0,0,0,0,True,True,1671,941,0,0,0,0,0,23,False,"Thu, 03 Sep 2026 00:06:46 +0000",2026-09-03 03:36:46,2026-09-18 02:43:18,16,5,16,15,8,8,4,72,yellow,9,0,19,54.6
