number,post_id,status,title,slug,url,post_date
1,286,publish,کوانتوم یعنی چه؟,what-is-quantum,https://qpedia.ir/what-is-quantum/,2026-08-22 22:04:55
2,287,publish,برهم‌نهی کوانتومی؛ چرا سکهٔ چرخان، الکترون نیست؟,quantum-superposition,https://qpedia.ir/quantum-superposition/,2026-08-22 23:07:34
3,288,publish,دوگانگی موج و ذره,wave-particle-duality,https://qpedia.ir/wave-particle-duality/,2026-09-03 03:42:05
4,289,publish,تابع موج چیست؟ کامل‌ترین نقشهٔ یک ذره — ولی خودش واقعیت نیست,wave-function,https://qpedia.ir/wave-function/,2026-09-03 03:40:21
5,291,publish,اندازه‌گیری و فروپاشی در کوانتوم؛ بزرگ‌ترین درزِ مکانیک کوانتومی,quantum-measurement,https://qpedia.ir/quantum-measurement/,2026-09-03 03:38:59
6,292,publish,اسپین؛ چرخشی که چرخش نیست,quantum-spin,https://qpedia.ir/quantum-spin/,2026-09-03 03:38:01
7,293,publish,ترازهای انرژی و کوانتش,energy-levels,https://qpedia.ir/energy-levels/,2026-09-03 03:36:46
8,294,publish,واهمدوسی (Decoherence)؛ چرا گربه‌ای را نمی‌بینیم که هم‌زمان زنده و مرده باشد؟,decoherence,https://qpedia.ir/decoherence/,2026-09-03 03:32:17
9,295,publish,ثابت پلانک؛ کوچک‌ترین واحد جهان,planck-constant,https://qpedia.ir/planck-constant/,2026-09-03 03:34:46
10,297,publish,آزمایش دو شکاف؛ معروف‌ترین آزمایش فیزیک، که هنوز هم درک کاملش سخت است,double-slit-experiment,https://qpedia.ir/double-slit-experiment/,2026-08-23 00:29:03
11,298,publish,درهم‌تنیدگی کوانتومی؛ «اثر شبح‌وار» که واقعی است، اما پیام نمی‌فرستد,quantum-entanglement-explained,https://qpedia.ir/quantum-entanglement-explained/,2026-08-23 00:29:03
12,299,publish,تونل‌زنی کوانتومی؛ پدیده‌ای که بدونش خورشید نمی‌تابید,quantum-tunneling,https://qpedia.ir/quantum-tunneling/,2026-08-23 00:29:03
13,300,publish,اثر فوتوالکتریک,photoelectric-effect,https://qpedia.ir/photoelectric-effect/,2026-09-03 03:49:03
14,302,publish,اثر زنون کوانتومی,quantum-zeno-effect,https://qpedia.ir/quantum-zeno-effect/,2026-08-23 00:29:03
15,303,publish,نوسانات خلأ,vacuum-fluctuations,https://qpedia.ir/vacuum-fluctuations/,2026-08-23 00:29:03
16,304,publish,اثر کازیمیر,casimir-effect,https://qpedia.ir/casimir-effect/,2026-08-23 00:29:03
17,305,publish,ابررسانایی,superconductivity,https://qpedia.ir/superconductivity/,2026-09-03 03:45:19
18,306,publish,ابرشارگی؛ مایعی که از لیوان بالا می‌رود,superfluidity,https://qpedia.ir/superfluidity/,2026-08-23 00:29:03
19,307,publish,فاجعهٔ فرابنفش,ultraviolet-catastrophe,https://qpedia.ir/ultraviolet-catastrophe/,2026-08-23 01:33:42
20,308,publish,مدل اتمی بور,bohr-atomic-model,https://qpedia.ir/bohr-atomic-model/,2026-08-23 01:33:42
21,309,publish,نامساوی بل,bell-inequality,https://qpedia.ir/bell-inequality/,2026-09-03 03:21:12
22,310,publish,تفسیر کپنهاگی,copenhagen-interpretation,https://qpedia.ir/copenhagen-interpretation/,2026-09-03 03:21:45
23,311,publish,تفسیر جهان‌های موازی,many-worlds-interpretation,https://qpedia.ir/many-worlds-interpretation/,2026-09-03 03:22:45
24,312,publish,کیوبیت چیست؟ چرا «بیت کوانتومی» یک بیت بهتر نیست؟,qubit,https://qpedia.ir/qubit/,2026-08-23 01:33:42
25,313,publish,لیزر چطور کار می‌کند؟,how-lasers-work,https://qpedia.ir/how-lasers-work/,2026-09-03 03:23:50
