article_number,source_id,slug,filename,alt_fa,dimensions
54,8479,polariton,polariton.webp,پولاریتون حاصل برهم‌کنش نور و ماده,1200x675
67,8480,quantum-engine-efficiency,quantum-engine-efficiency.webp,بازده موتور کوانتومی,1200x675
72,8473,quantum-viruses,quantum-viruses.webp,تصویر مفهومی کوانتوم در ویروس‌ها,1200x675
91,8468,cosmic-microwave-background,cosmic-microwave-background.webp,تابش زمینهٔ کیهانی و مسیر دریافت آن توسط ماهواره,1200x675
92,8469,wormhole,wormhole.webp,نمای مفهومی کرم‌چاله و اتصال دو ناحیه فضا–زمان,1200x675
93,8470,quantum-cosmology,quantum-cosmology.webp,روند مفهومی کیهان‌شناسی کوانتومی از جهان آغازین,1200x675
94,8471,quantum-bounce,quantum-bounce.webp,جهش کوانتومی کیهان از انقباض به انبساط,1200x675
95,8472,quantum-blockchain,quantum-blockchain.webp,زنجیره بلوک‌های بلاک‌چین کوانتومی,1200x675
111,8475,quantum-music,quantum-music.webp,موسیقی کوانتومی و تبدیل داده کوانتومی به صدا,1200x675
112,8474,quantum-fiction,quantum-fiction.webp,داستان علمی‌تخیلی کوانتومی و جهان‌های روایی,1200x675
113,8476,quantum-culture,quantum-culture.webp,فرهنگ کوانتومی در علم، هنر و جامعه,1200x675
114,8477,quantum-winter,quantum-winter.webp,زمستان کوانتومی و کاهش فعالیت فناوری,1200x675
116,8478,quantum-singularity,quantum-singularity.webp,تکینگی کوانتومی در فضا–زمان,1200x675
203,8492,coherent-states,coherent-states.webp,حالت همدوس و نمایش فضای فاز,1200x675
204,8493,fock-state,fock-state.webp,حالت فوک با تعداد مشخص کوانتوم,1200x675
205,8494,four-wave-mixing,four-wave-mixing.webp,فرایند چهارموجی در محیط غیرخطی,1200x675
206,8495,optical-parametric-oscillator,optical-parametric-oscillator.webp,نوسانگر پارامتری نوری و تولید سیگنال و آیدلر,1200x675
207,8496,homodyne-detection,homodyne-detection.webp,آشکارسازی هوموداین با سیگنال و نوسان‌ساز محلی,1200x675
208,8497,photon-counting,photon-counting.webp,شمارش فوتون و توزیع تعداد رویدادها,1200x675
209,8500,photon-blockade,photon-blockade.webp,انسداد فوتونی و عبور یک فوتون,1200x675
210,8502,slow-light,slow-light.webp,نور کند در محیط پاشنده,1200x675
211,8488,quantum-lithography,quantum-lithography.webp,لیتوگرافی کوانتومی و ایجاد الگوی ریز,1200x675
213,8504,quantum-secure-direct-communication,quantum-secure-direct-communication.webp,ارتباط مستقیم امن کوانتومی میان فرستنده و گیرنده,1200x675
214,8489,quantum-fingerprinting,quantum-fingerprinting.webp,انگشت‌نگاری کوانتومی برای مقایسه داده‌ها,1200x675
215,8490,quantum-auction,quantum-auction.webp,مزایده کوانتومی با چند پیشنهاددهنده,1200x675
216,8503,quantum-fpga,quantum-fpga.webp,FPGA کوانتومی و کنترل بازپیکربندی‌پذیر,1200x675
217,8501,cryogenic-electronics,cryogenic-electronics.webp,الکترونیک سرد درون یخچال برودتی,1200x675
218,8499,dilution-refrigerator,dilution-refrigerator.webp,یخچال رقیق‌سازی و مراحل دمایی آن,1200x675
219,8491,quantum-dimer,quantum-dimer.webp,دیمر کوانتومی و پیوند میان دو جایگاه,1200x675
220,8498,nanowire,nanowire.webp,نانوسیم و ساختارهای نانومتری,1200x675
221,8486,dipolar-gas,dipolar-gas.webp,گاز دوقطبی و آرایش ذرات قطبی,1200x675
222,8485,fermi-gas,fermi-gas.webp,گاز فرمی و پرشدن ترازها تا انرژی فرمی,1200x675
223,8484,quantum-droplet,quantum-droplet.webp,قطره کوانتومی خودبسته,1200x675
224,8483,soliton,soliton.webp,سالیتون و حفظ شکل موج هنگام انتشار,1200x675
225,8482,quantum-pigeonhole,quantum-pigeonhole.webp,اصل لانه‌کبوتری کوانتومی,1200x675
226,8481,quantum-solipsism,quantum-solipsism.webp,سولیپسیسم کوانتومی و مسئله ناظر,1200x675
