sequence,post_id,status,title,slug,url,post_date,audit_status,revised_title,mother_category,main_category,subcategory,subcategory_slug,canonical_sequence,audit_note
1,286,publish,کوانتوم یعنی چه؟,what-is-quantum,https://qpedia.ir/what-is-quantum/,2026-08-22 22:04:55,حفظ,کوانتوم یعنی چه؟,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,مفاهیم و کمیت‌های پایه,basic-quantum-concepts,,
2,287,publish,برهم‌نهی کوانتومی؛ چرا سکهٔ چرخان، الکترون نیست؟,quantum-superposition,https://qpedia.ir/quantum-superposition/,2026-08-22 23:07:34,حفظ,برهم‌نهی کوانتومی؛ چرا سکهٔ چرخان، الکترون نیست؟,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,برهم‌نهی، درهم‌تنیدگی و همدوسی,superposition-entanglement-coherence,,
3,288,publish,دوگانگی موج و ذره,wave-particle-duality,https://qpedia.ir/wave-particle-duality/,2026-09-03 03:42:05,حفظ,دوگانگی موج و ذره,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,مفاهیم و کمیت‌های پایه,basic-quantum-concepts,,
4,289,publish,تابع موج چیست؟ کامل‌ترین نقشهٔ یک ذره — ولی خودش واقعیت نیست,wave-function,https://qpedia.ir/wave-function/,2026-09-03 03:40:21,حفظ,تابع موج چیست؟ کامل‌ترین نقشهٔ یک ذره — ولی خودش واقعیت نیست,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت کوانتومی و تابع موج,quantum-states-wave-function,,
5,291,publish,اندازه‌گیری و فروپاشی در کوانتوم؛ بزرگ‌ترین درزِ مکانیک کوانتومی,quantum-measurement,https://qpedia.ir/quantum-measurement/,2026-09-03 03:38:59,حفظ,اندازه‌گیری و فروپاشی در کوانتوم؛ بزرگ‌ترین درزِ مکانیک کوانتومی,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اندازه‌گیری، احتمال و عدم‌قطعیت,measurement-probability-uncertainty,,
6,292,publish,اسپین؛ چرخشی که چرخش نیست,quantum-spin,https://qpedia.ir/quantum-spin/,2026-09-03 03:38:01,حفظ,اسپین؛ چرخشی که چرخش نیست,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,مفاهیم و کمیت‌های پایه,basic-quantum-concepts,,
7,293,publish,ترازهای انرژی و کوانتش,energy-levels,https://qpedia.ir/energy-levels/,2026-09-03 03:36:46,حفظ,ترازهای انرژی و کوانتش,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,مفاهیم و کمیت‌های پایه,basic-quantum-concepts,,
8,294,publish,واهمدوسی (Decoherence)؛ چرا گربه‌ای را نمی‌بینیم که هم‌زمان زنده و مرده باشد؟,decoherence,https://qpedia.ir/decoherence/,2026-09-03 03:32:17,حفظ,واهمدوسی (Decoherence)؛ چرا گربه‌ای را نمی‌بینیم که هم‌زمان زنده و مرده باشد؟,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,برهم‌نهی، درهم‌تنیدگی و همدوسی,superposition-entanglement-coherence,,
9,295,publish,ثابت پلانک؛ کوچک‌ترین واحد جهان,planck-constant,https://qpedia.ir/planck-constant/,2026-09-03 03:34:46,اصلاح عنوان,ثابت پلانک چیست؟ مقیاس بنیادی کوانتومی، نه کوچک‌ترین واحد جهان,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,مفاهیم و کمیت‌های پایه,basic-quantum-concepts,,اصلاح علمی عنوان؛ موضوع مقاله حفظ می‌شود.
10,297,publish,آزمایش دو شکاف؛ معروف‌ترین آزمایش فیزیک، که هنوز هم درک کاملش سخت است,double-slit-experiment,https://qpedia.ir/double-slit-experiment/,2026-08-23 00:29:03,حفظ,آزمایش دو شکاف؛ معروف‌ترین آزمایش فیزیک، که هنوز هم درک کاملش سخت است,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اثرها و پدیده‌های کوانتومی,quantum-effects-phenomena,,
