new_sequence,sequence,post_id,revised_title,slug,url,simple_mother,simple_mother_slug,simple_category,simple_category_slug
1,1,286,کوانتوم یعنی چه؟,what-is-quantum,https://qpedia.ir/what-is-quantum/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
2,2,287,برهم‌نهی کوانتومی؛ چرا سکهٔ چرخان، الکترون نیست؟,quantum-superposition,https://qpedia.ir/quantum-superposition/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
3,3,288,دوگانگی موج و ذره,wave-particle-duality,https://qpedia.ir/wave-particle-duality/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
4,4,289,تابع موج چیست؟ کامل‌ترین نقشهٔ یک ذره — ولی خودش واقعیت نیست,wave-function,https://qpedia.ir/wave-function/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
5,5,291,اندازه‌گیری و فروپاشی در کوانتوم؛ بزرگ‌ترین درزِ مکانیک کوانتومی,quantum-measurement,https://qpedia.ir/quantum-measurement/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
6,6,292,اسپین؛ چرخشی که چرخش نیست,quantum-spin,https://qpedia.ir/quantum-spin/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
7,7,293,ترازهای انرژی و کوانتش,energy-levels,https://qpedia.ir/energy-levels/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
8,8,294,واهمدوسی (Decoherence)؛ چرا گربه‌ای را نمی‌بینیم که هم‌زمان زنده و مرده باشد؟,decoherence,https://qpedia.ir/decoherence/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
9,9,295,ثابت پلانک چیست؟ مقیاس بنیادی کوانتومی، نه کوچک‌ترین واحد جهان,planck-constant,https://qpedia.ir/planck-constant/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
10,10,297,آزمایش دو شکاف؛ معروف‌ترین آزمایش فیزیک، که هنوز هم درک کاملش سخت است,double-slit-experiment,https://qpedia.ir/double-slit-experiment/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
11,11,298,درهم‌تنیدگی کوانتومی؛ «اثر شبح‌وار» که واقعی است، اما پیام نمی‌فرستد,quantum-entanglement-explained,https://qpedia.ir/quantum-entanglement-explained/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
12,12,299,تونل‌زنی کوانتومی؛ پدیده‌ای که بدونش خورشید نمی‌تابید,quantum-tunneling,https://qpedia.ir/quantum-tunneling/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
13,13,300,اثر فوتوالکتریک,photoelectric-effect,https://qpedia.ir/photoelectric-effect/,جهان کوانتومی,quantum-world,نور کوانتومی,quantum-light
14,14,302,اثر زنون کوانتومی,quantum-zeno-effect,https://qpedia.ir/quantum-zeno-effect/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
15,15,303,نوسانات خلأ,vacuum-fluctuations,https://qpedia.ir/vacuum-fluctuations/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
16,16,304,اثر کازیمیر,casimir-effect,https://qpedia.ir/casimir-effect/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
17,17,305,ابررسانایی,superconductivity,https://qpedia.ir/superconductivity/,جهان کوانتومی,quantum-world,مواد کوانتومی,quantum-materials
18,18,306,ابرشارگی؛ مایعی که از لیوان بالا می‌رود,superfluidity,https://qpedia.ir/superfluidity/,جهان کوانتومی,quantum-world,مواد کوانتومی,quantum-materials
19,19,307,فاجعهٔ فرابنفش,ultraviolet-catastrophe,https://qpedia.ir/ultraviolet-catastrophe/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
20,20,308,مدل اتمی بور,bohr-atomic-model,https://qpedia.ir/bohr-atomic-model/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
21,21,309,نامساوی بل,bell-inequality,https://qpedia.ir/bell-inequality/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
22,22,310,تفسیر کپنهاگی,copenhagen-interpretation,https://qpedia.ir/copenhagen-interpretation/,مبانی کوانتوم,quantum-foundations,فلسفه کوانتوم,quantum-philosophy
23,23,311,تفسیر جهان‌های موازی,many-worlds-interpretation,https://qpedia.ir/many-worlds-interpretation/,مبانی کوانتوم,quantum-foundations,فلسفه کوانتوم,quantum-philosophy
24,24,312,کیوبیت چیست؟ چرا «بیت کوانتومی» یک بیت بهتر نیست؟,qubit,https://qpedia.ir/qubit/,فناوری کوانتومی,quantum-technology,رایانش کوانتومی,quantum-computing
25,25,313,لیزر چطور کار می‌کند؟,how-lasers-work,https://qpedia.ir/how-lasers-work/,جهان کوانتومی,quantum-world,نور کوانتومی,quantum-light
26,26,314,ترانزیستور؛ کوانتوم در جیب شما,transistor-quantum,https://qpedia.ir/transistor-quantum/,کوانتوم و زندگی,quantum-and-life,حسگرها و ابزارها,quantum-tools
27,27,315,ساعت اتمی و جی‌پی‌اس,atomic-clock-gps,https://qpedia.ir/atomic-clock-gps/,کوانتوم و زندگی,quantum-and-life,حسگرها و ابزارها,quantum-tools
28,28,316,«همه‌چیز انرژی است» — بررسی یک ادعا,everything-is-energy-claim,https://qpedia.ir/everything-is-energy-claim/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
29,29,320,تونل‌زنی کوانتومی در آنزیم‌ها؛ چه شواهدی داریم؟,enzyme-quantum-tunneling,https://qpedia.ir/enzyme-quantum-tunneling/,کوانتوم و زندگی,quantum-and-life,زیست و پزشکی,quantum-biology-medicine
30,30,321,آیا مغز کوانتومی است؟,is-the-brain-quantum,https://qpedia.ir/is-the-brain-quantum/,کوانتوم و زندگی,quantum-and-life,زیست و پزشکی,quantum-biology-medicine
31,31,511,کوانتوم و پزشکی,quantum-alternative-medicine-science,https://qpedia.ir/quantum-alternative-medicine-science/,کوانتوم و زندگی,quantum-and-life,زیست و پزشکی,quantum-biology-medicine
32,32,514,ام‌آرآی (MRI) چگونه کار می‌کند؟ ریشهٔ کوانتومی آن,mri-quantum,https://qpedia.ir/mri-quantum/,کوانتوم و زندگی,quantum-and-life,زیست و پزشکی,quantum-biology-medicine
33,33,518,چگونه ادعای شبه‌علمی را در یک جمله تشخیص دهیم,spot-pseudoscience-one-sentence,https://qpedia.ir/spot-pseudoscience-one-sentence/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
34,34,545,تله پورت کوانتومی چیست؟,quantum-teleportation,https://qpedia.ir/quantum-teleportation/,فناوری کوانتومی,quantum-technology,ارتباطات کوانتومی,quantum-communications
35,35,564,آیا کوانتوم ثابت می کند خدا وجود دارد یا ندارد؟,does-quantum-prove-god,https://qpedia.ir/does-quantum-prove-god/,مبانی کوانتوم,quantum-foundations,فلسفه کوانتوم,quantum-philosophy
36,39,2236,کنفرانس سولوی ۱۹۲۷ چه بود؟,solvay-conference-1927,https://qpedia.ir/solvay-conference-1927/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
37,40,2239,آزمایش آسپه ۱۹۸۲ چه بود؟,aspect-experiment-1982,https://qpedia.ir/aspect-experiment-1982/,کوانتوم و زندگی,quantum-and-life,تاریخ و جامعه,quantum-history-society
38,41,2241,صفر مطلق چیست؟,absolute-zero,https://qpedia.ir/absolute-zero/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
39,42,2242,واپاشی آلفا چیست؟,alpha-decay,https://qpedia.ir/alpha-decay/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
40,44,2478,اصل هولوگرافیک؛ آیا جهان ما یک هولوگرام است؟,holographic-principle,https://qpedia.ir/holographic-principle/,مبانی کوانتوم,quantum-foundations,فلسفه کوانتوم,quantum-philosophy
41,45,2479,رمزنگاری پساکوانتومی؛ قفل های تازهٔ اینترنت,post-quantum-cryptography,https://qpedia.ir/post-quantum-cryptography/,فناوری کوانتومی,quantum-technology,ارتباطات کوانتومی,quantum-communications
42,46,2480,شیمی کوانتومی چیست؟ چرا دستتان از دیوار رد نمی شود,quantum-chemistry,https://qpedia.ir/quantum-chemistry/,کوانتوم و زندگی,quantum-and-life,زیست و پزشکی,quantum-biology-medicine
43,47,2481,چرا کوانتوم را در زندگی روزمره حس نمی کنیم؟,quantum-classical-boundary,https://qpedia.ir/quantum-classical-boundary/,مبانی کوانتوم,quantum-foundations,مفاهیم پایه,quantum-basics
44,48,2482,داروینیسم کوانتومی؛ چرا همه یک واقعیت می بینیم؟,quantum-darwinism,https://qpedia.ir/quantum-darwinism/,مبانی کوانتوم,quantum-foundations,فلسفه کوانتوم,quantum-philosophy
45,49,2483,کوانتوم و ارادهٔ آزاد؛ آیا آینده از قبل نوشته شده؟,quantum-free-will,https://qpedia.ir/quantum-free-will/,مبانی کوانتوم,quantum-foundations,فلسفه کوانتوم,quantum-philosophy
46,50,2484,گرانش کوانتومی چیست؟ بزرگ ترین چالش فیزیک,quantum-gravity,https://qpedia.ir/quantum-gravity/,جهان کوانتومی,quantum-world,کیهان کوانتومی,quantum-universe
47,51,2485,شفای کوانتومی؛ چرا این ادعا شبه علم است؟,quantum-healing-debunked,https://qpedia.ir/quantum-healing-debunked/,کوانتوم و زندگی,quantum-and-life,زیست و پزشکی,quantum-biology-medicine
48,52,2486,نظریهٔ ریسمان و کوانتوم؛ جهان از جنس نت است؟,string-theory-quantum,https://qpedia.ir/string-theory-quantum/,جهان کوانتومی,quantum-world,کیهان کوانتومی,quantum-universe
49,53,2487,کریستال زمان چیست؟ ماده ای که در زمان تکرار می شود,time-crystal,https://qpedia.ir/time-crystal/,جهان کوانتومی,quantum-world,مواد کوانتومی,quantum-materials
