source_file,slug,filename,title_fa,alt_fa,dimensions,size_kb
1000098919.jpg,wave-particle-duality,wave-particle-duality.webp,دوگانگی موج و ذره,تصویر شاخص دوگانگی موج و ذره در فیزیک کوانتوم,1200x675,25.9 KB
1000098920.jpg,what-is-quantum,what-is-quantum.webp,کوانتوم یعنی چه؟,تصویر شاخص کوانتوم یعنی چه و مبانی فیزیک کوانتومی,1200x675,28.7 KB
1000098921.jpg,quantum-superposition,quantum-superposition.webp,برهم‌نهی کوانتومی,تصویر شاخص برهم‌نهی کوانتومی و حالت‌های چندگانه,1200x675,26.4 KB
1000098922.jpg,wave-function,wave-function.webp,تابع موج چیست؟,تصویر شاخص تابع موج کوانتومی و معادله شرودینگر,1200x675,24.6 KB
1000098923.jpg,quantum-measurement,quantum-measurement.webp,اندازه‌گیری و فروپاشی,تصویر شاخص اندازه‌گیری کوانتومی و فروپاشی تابع موج,1200x675,25.6 KB
1000098924.jpg,quantum-spin,quantum-spin.webp,اسپین؛ چرخشی که چرخش نیست,تصویر شاخص اسپین کوانتومی و تکانه زاویه‌ای ذاتی,1200x675,27.4 KB
1000098925.jpg,energy-levels,energy-levels.webp,ترازهای انرژی و کوانتش,تصویر شاخص ترازهای گسسته انرژی و کوانتش,1200x675,27.6 KB
1000098926.jpg,decoherence,decoherence.webp,واهمدوسی کوانتومی,تصویر شاخص واهمدوسی کوانتومی و گذار به فیزیک کلاسیک,1200x675,34.0 KB
1000098927.jpg,planck-constant,planck-constant.webp,ثابت پلانک چیست؟,تصویر شاخص ثابت پلانک و مقیاس بنیادین کوانتوم,1200x675,29.1 KB
1000098928.jpg,quantum-entanglement-explained,quantum-entanglement-explained.webp,درهم‌تنیدگی کوانتومی,تصویر شاخص درهم‌تنیدگی کوانتومی و هم‌بستگی ذرات,1200x675,37.6 KB
1000098929.jpg,quantum-zeno-effect,quantum-zeno-effect.webp,اثر زنون کوانتومی,تصویر شاخص اثر زنون کوانتومی و مشاهده مداوم,1200x675,32.4 KB
1000098930.jpg,vacuum-fluctuations,vacuum-fluctuations.webp,نوسانات خلأ,تصویر شاخص افت‌وخیز کوانتومی و انرژی نقطه صفر خلأ,1200x675,29.4 KB
1000098931.jpg,casimir-effect,casimir-effect.webp,اثر کازیمیر,تصویر شاخص اثر کازیمیر و نیروی کوانتومی میان صفحات,1200x675,36.6 KB
1000098932.jpg,ultraviolet-catastrophe,ultraviolet-catastrophe.webp,فاجعهٔ فرابنفش,تصویر شاخص فاجعه فرابنفش و تابش جسم سیاه,1200x675,28.3 KB
1000098933.jpg,bohr-atomic-model,bohr-atomic-model.webp,مدل اتمی بور,تصویر شاخص مدل اتمی نیلز بور و مدارهای کوانتومی,1200x675,30.5 KB
1000098934.jpg,bell-inequality,bell-inequality.webp,نامساوی بل,تصویر شاخص قضیه و نامساوی بل در فیزیک کوانتوم,1200x675,31.7 KB
1000098935.jpg,absolute-zero,absolute-zero.webp,صفر مطلق چیست؟,تصویر شاخص صفر مطلق دما و توقف جنبش گرمایی,1200x675,29.6 KB
1000098960.jpg,alpha-decay,alpha-decay.webp,واپاشی آلفا,تصویر شاخص واپاشی آلفا و تونل‌زنی هسته‌ای,1200x675,22.6 KB
1000098961.jpg,loophole-free-bell-test,loophole-free-bell-test.webp,نامساوی بل (آزمون بل),تصویر شاخص آزمایش بدون روزنه نامساوی بل,1200x675,26.6 KB
1000098962.jpg,quantum-tunneling,quantum-tunneling.webp,تونل‌زنی کوانتومی,تصویر شاخص تونل‌زنی کوانتومی و عبور ذره از سد پتانسیل,1200x675,28.6 KB
1000098963.jpg,double-slit-experiment,double-slit-experiment.webp,آزمایش دو شکاف,تصویر شاخص آزمایش دو شکاف یانگ در کوانتوم,1200x675,48.0 KB
1000098964.jpg,no-cloning-theorem,no-cloning-theorem.webp,قضیهٔ عدم‌کپی,تصویر شاخص قضیه عدم همسانه‌سازی یا کپی کوانتومی,1200x675,44.9 KB
1000098965.jpg,coherence,coherence.webp,همدوسی,تصویر شاخص همدوسی کوانتومی و فاز امواج,1200x675,30.4 KB
1000098967.jpg,quantum-state,quantum-state.webp,حالت کوانتومی چیست؟,تصویر شاخص بردار حالت کوانتومی در فضای هیلبرت,1200x675,37.0 KB
1000098968.jpg,entanglement-quantum-computers,entanglement-quantum-computers.webp,درهم‌تنیدگی در کامپیوترهای کوانتومی,تصویر شاخص درهم‌تنیدگی در پردازش کامپیوترهای کوانتومی,1200x675,49.6 KB
1000098969.jpg,human-teleportation,human-teleportation.webp,درهم‌تنیدگی و سرعت نور,تصویر شاخص بررسی انتقال اطلاعات در درهم‌تنیدگی کوانتومی,1200x675,42.9 KB
1000098970.jpg,quantum-probability,quantum-probability.webp,احتمال کوانتومی,تصویر شاخص ماهیت احتمالاتی مکانیک کوانتومی و قاعده بورن,1200x675,45.1 KB
1000098971.jpg,virtual-particles,virtual-particles.webp,ذرات مجازی,تصویر شاخص ذرات مجازی در میدان‌های کوانتومی,1200x675,35.6 KB
