id,status,title,slug,word_count,links,external_links,has_thumb,thumb_alt,en_name,focus,desc
231,publish,دیوید بوهم,david-bohm,1227,2,0,True,,David Bohm,,
233,publish,آلن اسپکت,alain-aspect,572,3,0,True,,Alain Aspect,,
234,publish,آنتونی زایلینگر,anton-zeilinger,508,2,0,True,,Anton Zeilinger,,
235,publish,آرنولد زومرفلد,arnold-sommerfeld,599,1,0,True,,Arnold Sommerfeld,,
236,publish,آرتور کامپتون,arthur-compton,681,1,0,True,,Arthur Compton,,
237,publish,چارلز ویلسون,charles-wilson,581,1,0,True,,Charles Wilson,,
238,publish,دیوید دویچ,david-deutsch,639,2,0,True,,David Deutsch,,
239,publish,دیوید هیلبرت,david-hilbert,634,2,0,True,,David Hilbert,,
240,publish,انریکو فرمی,enrico-fermi,691,2,0,True,,Enrico Fermi,,
242,publish,پیتر شور,peter-shor,609,2,0,True,,Peter Shor,,
265,publish,ماکس پلانک,max-plank,703,5,0,True,ماکس پلانک,Max Planck,,
266,publish,نیلز بور,niels-bohr,837,10,0,True,,Niels Bohr,,
267,publish,پل دیراک,paul-dirac,721,3,0,True,,Paul Dirac,,
268,publish,ولفگانگ پاولی,wolfgang-pauli,761,4,0,True,,Wolfgang Pauli,,
271,publish,ساتیندرا بوز,satyendra-bose,740,6,0,True,,Satyendra Bose,,
272,publish,فریمن دایسون,freeman-dyson,735,0,0,True,,Freeman Dyson,,
273,publish,هیدکی یوکاوا,hideki-yukawa,708,1,0,True,,Hideki Yukawa,,
274,publish,جان بل,john-bell,783,9,0,True,,John Bell,,
275,publish,هیو اورت,hugh-everett,715,5,0,True,,Hugh Everett,,
322,publish,آیزاک نیوتن,isaac-newton,845,6,0,True,,Isaac Newton,,
269,publish,پاسکوال یوردان,pascual-jordan,653,1,0,True,,Pascual Jordan,پاسکوال یوردان,بخش‌های ریاضی سنگین آن مقاله عمدتاً کار یوردان بود. او همچنین اولین کسی بود که رابطهٔ جابه‌جایی بنیادی را به‌درستی نوشت
270,publish,هرمان وایل,hermann-weyl,787,3,0,True,,Hermann Weyl,,
2060,publish,آلبرت اینشتین,albert-einstein-2,820,6,2,True,آابرت اینشتین,albert-einstein,,
2266,publish,اروین شرودینگر,schrodingerr,582,10,0,True,اروین شرودینگر,,,
2327,publish,لویی دوبروی؛ شاهزاده‌ای که الکترون را موج کرد,louis-de-broglie,916,14,2,True,,Louis de Broglie,لویی دوبروی,شاهزاده‌ای که اول تاریخ خواند، در پایان‌نامهٔ دکترایش اعلام کرد هر ذرهٔ ماده یک موج هم هست و نوبل ۱۹۲۹ را برای کشف سرشت موجی الکترون گرفت. این‌جا قصهٔ مردی است که از اشراف آمد و در تاریخ علم ماند.
