همه ایرادات qpedia.ir — 2026-09-21 — 1725 مورد — قابل کپی
فرمت: [severity] code | slug | title | location | evidence | fix
========================================================================================================================
[high] C01 | absolute-zero | محتوای بسیار نازک | loc:بدنه | ev:431 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | acceleration-radiation | محتوای بسیار نازک | loc:بدنه | ev:381 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | alpha-decay | محتوای بسیار نازک | loc:بدنه | ev:473 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | anomalous-magnetic-moment | محتوای بسیار نازک | loc:بدنه | ev:373 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | antimatter | محتوای بسیار نازک | loc:بدنه | ev:595 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | anyon | محتوای بسیار نازک | loc:بدنه | ev:369 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | aspect-experiment-1982 | محتوای بسیار نازک | loc:بدنه | ev:555 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | axion | محتوای بسیار نازک | loc:بدنه | ev:381 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | bernstein-vazirani-algorithm | محتوای بسیار نازک | loc:بدنه | ev:390 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | bose-einstein-condensate | محتوای بسیار نازک | loc:بدنه | ev:503 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | cavity-qed | محتوای بسیار نازک | loc:بدنه | ev:576 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | circuit-qed | محتوای بسیار نازک | loc:بدنه | ev:492 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | coherence | محتوای بسیار نازک | loc:بدنه | ev:429 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | coherent-states | محتوای بسیار نازک | loc:بدنه | ev:383 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | cosmic-inflation | محتوای بسیار نازک | loc:بدنه | ev:374 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | cosmic-microwave-background | محتوای بسیار نازک | loc:بدنه | ev:409 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | cryogenic-electronics | محتوای بسیار نازک | loc:بدنه | ev:392 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
[high] C01 | dark-energy-quantum | محتوای بسیار نازک | loc:بدنه | ev:396 کلمه | fix:گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
