id,status,title,slug,date,modified,word_count,main_word_count,has_sources,source_items,source_links,bare_source_urls,internal_links,external_links,has_thumb,thumb_alt,focus,seo,desc,faq_visible,faq_schema,traffic,issues
3321,draft,لیدار کوانتومی چیست و چگونه فاصله را با فوتون‌ها اندازه می‌گیرد؟,quantum-lidar,2026-09-20 19:34:15,2026-09-20 19:34:15,1800,1501,True,6,6,0,8,6,True,نمودار لیدار کوانتومی و محاسبه فاصله هدف از زمان رفت‌وبرگشت فوتون‌ها,لیدار کوانتومی,لیدار کوانتومی چیست؟ سازوکار، کاربرد و محدودیت‌ها,لیدار کوانتومی با فوتون‌های منفرد، هم‌بستگی یا نور فشرده فاصله و سرعت هدف را می‌سنجد؛ تفاوت آن با لیدار کلاسیک و محدودیت‌های واقعی را بخوانید.,0,True,green,
3323,draft,چشمهٔ تک‌فوتون چیست و چرا ساخت یک فوتونِ مطمئن دشوار است؟,single-photon-source,2026-09-20 19:34:15,2026-09-20 19:34:15,1650,1382,True,6,6,0,7,6,True,نمودار چشمه تک‌فوتون و چالش تولید یک فوتون خالص و قابل‌اعتماد,چشمهٔ تک‌فوتون,چشمهٔ تک‌فوتون چیست؟ روش تولید و کاربردها,چشمهٔ تک‌فوتون چگونه هر بار فقط یک فوتون می‌سازد؟ با سازوکار نقاط کوانتومی، منابع بشارت‌داده‌شده، معیارهای کیفیت و محدودیت‌ها آشنا شوید.,0,True,green,
3325,draft,چشمهٔ فوتون درهم‌تنیده چگونه جفت‌های کوانتومی تولید می‌کند؟,entangled-photon-source,2026-09-20 19:34:15,2026-09-20 19:34:15,1809,1525,True,6,6,0,10,6,True,نمودار تولید جفت‌فوتون درهم‌تنیده با لیزر پمپ و بلور غیرخطی,چشمهٔ فوتون درهم‌تنیده,چشمهٔ فوتون درهم‌تنیده چیست و چگونه کار می‌کند؟,چشمهٔ فوتون درهم‌تنیده چگونه جفت‌فوتون‌های هم‌بسته می‌سازد؟ سازوکار SPDC، انواع درهم‌تنیدگی، آزمون کیفیت و کاربردهای واقعی را بخوانید.,0,True,green,
3327,draft,تبدیل پارامتری خودبه‌خودی چیست؟ سازوکار SPDC برای تولید جفت‌فوتون,spontaneous-parametric-down-conversion,2026-09-20 19:34:15,2026-09-20 19:34:15,1914,1622,True,6,6,0,8,6,True,نمودار فرایند SPDC و تولید فوتون‌های سیگنال و آیدلر در بلور غیرخطی,تبدیل پارامتری خودبه‌خودی,تبدیل پارامتری خودبه‌خودی (SPDC) چیست؟,SPDC چگونه در یک بلور غیرخطی جفت‌فوتون تولید می‌کند؟ شرط‌های انرژی و تطبیق فاز، انواع فرایند، کاربردها و محدودیت‌های آن را بخوانید.,0,True,green,
3332,draft,انسداد فوتونی؛ وقتی یک فوتون راه فوتون بعدی را می‌بندد,photon-blockade,2026-09-20 19:34:15,2026-09-20 19:34:15,365,233,True,4,4,0,3,4,True,انسداد فوتونی و عبور یک فوتون,انسداد فوتونی,انسداد فوتونی چیست؟,انسداد فوتونی از ناهماهنگی ترازهای سامانه غیرخطی باعث ضدخوشه‌ای‌شدن نور می‌شود؛ سازوکار، گونه نامتعارف و معیارهای آزمایش را بخوانید.,5,True,red,کمتر از ۵۰۰ کلمه
3334,draft,نور کند؛ کنترل سرعت گروهی بدون کندشدن ثابت بنیادی نور,slow-light,2026-09-20 19:34:15,2026-09-20 19:34:15,403,258,True,4,4,0,3,4,True,نور کند در محیط پاشنده,نور کند,نور کند چیست؟,نور کند کاهش سرعت گروهی پالس در محیط پاشنده است؛ EIT، ذخیره نور، پهنای باند و تفاوت سرعت گروهی با سرعت اطلاعات را بخوانید.,5,True,red,کمتر از ۵۰۰ کلمه
3336,draft,لیتوگرافی کوانتومی؛ الگودهی زیر حد رایلی و هزینهٔ واقعی آن,quantum-lithography,2026-09-20 19:34:15,2026-09-20 19:34:15,401,253,True,4,4,0,3,4,True,لیتوگرافی کوانتومی و ایجاد الگوی ریز,لیتوگرافی کوانتومی,لیتوگرافی کوانتومی چیست؟,لیتوگرافی کوانتومی از تداخل چندفوتونی برای نوارهای ریزتر استفاده می‌کند؛ حالت NOON، جذب چندفوتونی، اتلاف و تفاوت تفکیک با حساسیت را بخوانید.,5,True,red,کمتر از ۵۰۰ کلمه
3338,draft,ارتباط مستقیم امن کوانتومی؛ ارسال پیام بدون تولید کلید جداگانه,quantum-secure-direct-communication,2026-09-20 19:34:15,2026-09-20 19:34:15,398,248,True,4,4,0,3,4,True,ارتباط مستقیم امن کوانتومی میان فرستنده و گیرنده,ارتباط مستقیم امن کوانتومی,ارتباط مستقیم امن کوانتومی چیست؟,ارتباط مستقیم امن کوانتومی پیام را مستقیماً در حالت‌های کوانتومی رمزگذاری می‌کند؛ آزمون کانال، QSDC، تفاوت با QKD و محدودیت نرخ را بخوانید.,5,True,red,کمتر از ۵۰۰ کلمه
3340,draft,انگشت‌نگاری کوانتومی؛ مقایسه داده با پیام بسیار کوتاه,quantum-fingerprinting,2026-09-20 19:34:15,2026-09-20 19:34:15,361,237,True,4,4,0,3,4,True,انگشت‌نگاری کوانتومی برای مقایسه داده‌ها,انگشت‌نگاری کوانتومی,انگشت‌نگاری کوانتومی چیست؟,انگشت‌نگاری کوانتومی برابری دو رشته را با ارتباط کمتر و خطای محدود می‌سنجد؛ مدل هم‌زمان، حالت اثرانگشت و تفاوت با هش رمزنگاری را بخوانید.,5,True,red,کمتر از ۵۰۰ کلمه
3342,draft,مزایده کوانتومی؛ پیشنهادهای درهم‌نهیده یا صرفاً یک مدل نظری؟,quantum-auction,2026-09-20 19:34:15,2026-09-20 19:34:15,357,238,True,4,4,0,3,4,True,مزایده کوانتومی با چند پیشنهاددهنده,مزایده کوانتومی,مزایده کوانتومی چیست؟,مزایده کوانتومی پروتکل‌های مزایده را با راهبرد یا ارتباط کوانتومی مدل می‌کند؛ حریم پیشنهاد، صداقت، سازوکار و فاصله تا کاربرد عملی را بخوانید.,5,True,red,کمتر از ۵۰۰ کلمه
3344,draft,FPGA کوانتومی؛ سخت‌افزار بازپیکربندی‌پذیر برای کنترل یا پردازش کوانتومی,quantum-fpga,2026-09-20 19:34:15,2026-09-20 19:34:15,351,229,True,4,4,0,3,4,True,FPGA کوانتومی و کنترل بازپیکربندی‌پذیر,FPGA کوانتومی,FPGA کوانتومی چیست؟,FPGA کوانتومی می‌تواند کنترل‌گر کلاسیک کم‌تأخیر یا مدار کوانتومی بازپیکربندی‌پذیر باشد؛ معماری، بازخورد، فوتونیک و محدودیت‌ها را بخوانید.,5,True,red,کمتر از ۵۰۰ کلمه
3346,draft,الکترونیک سرد؛ کنترل رایانه کوانتومی در چند کلوین,cryogenic-electronics,2026-09-20 19:34:15,2026-09-20 19:34:15,397,246,True,4,4,0,3,4,True,الکترونیک سرد درون یخچال برودتی,الکترونیک سرد,الکترونیک سرد چیست؟,الکترونیک سرد مدارهای کنترل و خوانش را نزدیک کیوبیت‌ها در دمای پایین اجرا می‌کند؛ CMOS برودتی، توان، نویز و چالش سیم‌کشی را بخوانید.,5,True,red,کمتر از ۵۰۰ کلمه
3348,draft,یخچال رقیق‌سازی؛ چگونه به چند میلی‌کلوین می‌رسیم؟,dilution-refrigerator,2026-09-20 19:34:15,2026-09-20 19:34:15,389,256,True,4,4,0,3,4,True,یخچال رقیق‌سازی و مراحل دمایی آن,یخچال رقیق‌سازی,یخچال رقیق‌سازی چگونه کار می‌کند؟,یخچال رقیق‌سازی با اختلاط ایزوتوپ‌های هلیوم-۳ و هلیوم-۴ سرمایش پیوسته میلی‌کلوینی می‌سازد؛ مراحل، توان و محدودیت‌ها را بخوانید.,5,True,red,کمتر از ۵۰۰ کلمه
