new_sequence,sequence,post_id,revised_title,slug,url,mother_category,main_category,public_subcategory,public_subcategory_slug
1,1,286,کوانتوم یعنی چه؟,what-is-quantum,https://qpedia.ir/what-is-quantum/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت، تابع موج و مفاهیم پایه,quantum-state-wave-function-basics
2,2,287,برهم‌نهی کوانتومی؛ چرا سکهٔ چرخان، الکترون نیست؟,quantum-superposition,https://qpedia.ir/quantum-superposition/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,برهم‌نهی، درهم‌تنیدگی و همدوسی,superposition-entanglement-coherence
3,3,288,دوگانگی موج و ذره,wave-particle-duality,https://qpedia.ir/wave-particle-duality/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت، تابع موج و مفاهیم پایه,quantum-state-wave-function-basics
4,4,289,تابع موج چیست؟ کامل‌ترین نقشهٔ یک ذره — ولی خودش واقعیت نیست,wave-function,https://qpedia.ir/wave-function/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت، تابع موج و مفاهیم پایه,quantum-state-wave-function-basics
5,5,291,اندازه‌گیری و فروپاشی در کوانتوم؛ بزرگ‌ترین درزِ مکانیک کوانتومی,quantum-measurement,https://qpedia.ir/quantum-measurement/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اندازه‌گیری، احتمال و عدم‌قطعیت,measurement-probability-uncertainty
6,6,292,اسپین؛ چرخشی که چرخش نیست,quantum-spin,https://qpedia.ir/quantum-spin/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت، تابع موج و مفاهیم پایه,quantum-state-wave-function-basics
7,7,293,ترازهای انرژی و کوانتش,energy-levels,https://qpedia.ir/energy-levels/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت، تابع موج و مفاهیم پایه,quantum-state-wave-function-basics
8,8,294,واهمدوسی (Decoherence)؛ چرا گربه‌ای را نمی‌بینیم که هم‌زمان زنده و مرده باشد؟,decoherence,https://qpedia.ir/decoherence/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,برهم‌نهی، درهم‌تنیدگی و همدوسی,superposition-entanglement-coherence
9,9,295,ثابت پلانک چیست؟ مقیاس بنیادی کوانتومی، نه کوچک‌ترین واحد جهان,planck-constant,https://qpedia.ir/planck-constant/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت، تابع موج و مفاهیم پایه,quantum-state-wave-function-basics
10,10,297,آزمایش دو شکاف؛ معروف‌ترین آزمایش فیزیک، که هنوز هم درک کاملش سخت است,double-slit-experiment,https://qpedia.ir/double-slit-experiment/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اثرها، انرژی و پدیده‌های کوانتومی,quantum-effects-energy-phenomena
11,11,298,درهم‌تنیدگی کوانتومی؛ «اثر شبح‌وار» که واقعی است، اما پیام نمی‌فرستد,quantum-entanglement-explained,https://qpedia.ir/quantum-entanglement-explained/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,برهم‌نهی، درهم‌تنیدگی و همدوسی,superposition-entanglement-coherence
12,12,299,تونل‌زنی کوانتومی؛ پدیده‌ای که بدونش خورشید نمی‌تابید,quantum-tunneling,https://qpedia.ir/quantum-tunneling/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اثرها، انرژی و پدیده‌های کوانتومی,quantum-effects-energy-phenomena
13,13,300,اثر فوتوالکتریک,photoelectric-effect,https://qpedia.ir/photoelectric-effect/,جهان کوانتومی و ساختار ماده,اپتیک کوانتومی و فوتونیک,نور، لیزر و فوتونیک کوانتومی,quantum-light-lasers-photonics
14,14,302,اثر زنون کوانتومی,quantum-zeno-effect,https://qpedia.ir/quantum-zeno-effect/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اندازه‌گیری، احتمال و عدم‌قطعیت,measurement-probability-uncertainty
15,15,303,نوسانات خلأ,vacuum-fluctuations,https://qpedia.ir/vacuum-fluctuations/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اثرها، انرژی و پدیده‌های کوانتومی,quantum-effects-energy-phenomena
16,16,304,اثر کازیمیر,casimir-effect,https://qpedia.ir/casimir-effect/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,اثرها، انرژی و پدیده‌های کوانتومی,quantum-effects-energy-phenomena
17,17,305,ابررسانایی,superconductivity,https://qpedia.ir/superconductivity/,جهان کوانتومی و ساختار ماده,ماده چگال و مواد کوانتومی,ابررسانایی و مواد کوانتومی,superconductivity-quantum-materials
18,18,306,ابرشارگی؛ مایعی که از لیوان بالا می‌رود,superfluidity,https://qpedia.ir/superfluidity/,جهان کوانتومی و ساختار ماده,ماده چگال و مواد کوانتومی,ابرشارگی، چگالش و گازهای کوانتومی,superfluidity-condensates-quantum-gases
19,19,307,فاجعهٔ فرابنفش,ultraviolet-catastrophe,https://qpedia.ir/ultraviolet-catastrophe/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت، تابع موج و مفاهیم پایه,quantum-state-wave-function-basics
20,20,308,مدل اتمی بور,bohr-atomic-model,https://qpedia.ir/bohr-atomic-model/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,حالت، تابع موج و مفاهیم پایه,quantum-state-wave-function-basics
21,21,309,نامساوی بل,bell-inequality,https://qpedia.ir/bell-inequality/,دانش بنیادی کوانتوم,مبانی فیزیک کوانتومی,برهم‌نهی، درهم‌تنیدگی و همدوسی,superposition-entanglement-coherence
