sequence,term,seo_title,meta_description,links,words,category,related,schema
1,مکانیک کوانتومی,مکانیک کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,مکانیک کوانتومی چیست؟ نظریه‌ای بنیادی برای توصیف رفتار ماده و نور در مقیاس‌های اتمی و زیراتمی است. کاربرد آن را بخوانید.,4,256,مفاهیم پایه,https://qpedia.ir/what-is-quantum/,DefinedTerm
2,فیزیک کوانتومی,فیزیک کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,فیزیک کوانتومی چیست؟ حوزه‌ای از فیزیک است که پدیده‌های وابسته به کوانتش، برهم‌نهی، اندازه‌گیری و میدان‌های کوانتومی را بررسی می‌کند.,4,260,مفاهیم پایه,https://qpedia.ir/quantum-physics-vs-quantum-mechanics/,DefinedTerm
3,کوانتش,کوانتش چیست؟ معنی ساده، مثال روزمره و کاربرد در کوانتوم,کوانتش چیست؟ محدودشدن بعضی کمیت‌های فیزیکی به مجموعه‌ای از مقدارهای مجاز و گسسته است. مثال روزمره و مرز تمثیل را ببینید.,4,245,مفاهیم پایه,https://qpedia.ir/energy-levels/,DefinedTerm
4,حالت کوانتومی,حالت کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,حالت کوانتومی چیست؟ کامل‌ترین توصیف ریاضی موجود از اطلاعات و نتیجه‌های قابل پیش‌بینی یک سامانه کوانتومی است. مثال آن را ببینید.,4,258,مفاهیم پایه,https://qpedia.ir/quantum-state/,DefinedTerm
5,تابع موج,تابع موج چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,تابع موج چیست؟ ساختاری ریاضی است که دامنه‌های احتمال و اطلاعات حالت یک سامانه کوانتومی را رمزگذاری می‌کند. مثال آن را ببینید.,4,265,مفاهیم پایه,https://qpedia.ir/wave-function/,DefinedTerm
6,دامنه احتمال,دامنه احتمال چیست؟ تعریف ساده، مثال و کاربردهای مهم,دامنه احتمال چیست؟ کمیتی مختلط است که مربع اندازه آن احتمال مشاهده یک نتیجه را تعیین می‌کند. مثال روزمره و مرز تمثیل را ببینید.,4,264,مفاهیم پایه,https://qpedia.ir/born-probability/,DefinedTerm
7,احتمال کوانتومی,احتمال کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,احتمال کوانتومی چیست؟ احتمالی است که از دامنه‌های کوانتومی و تداخل آن‌ها به دست می‌آید، نه فقط از ناآگاهی کلاسیکی. مثال آن را ببینید.,4,264,مفاهیم پایه,https://qpedia.ir/quantum-probability/,DefinedTerm
8,برهم‌نهی کوانتومی,برهم‌نهی کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,برهم‌نهی کوانتومی چیست؟ حالتی است که در آن سامانه با ترکیبی از چند حالت پایه و دامنه‌های مشخص توصیف می‌شود. مثال آن را ببینید.,4,257,مفاهیم پایه,https://qpedia.ir/quantum-superposition/,DefinedTerm
9,درهم‌تنیدگی کوانتومی,درهم‌تنیدگی کوانتومی چیست؟ تعریف ساده، مثال و کاربرد,درهم‌تنیدگی کوانتومی چیست؟ ویژگی حالت مشترک چند سامانه است که هم‌بستگی‌های آن را نمی‌توان به حالت‌های مستقل اجزا فروکاست.,4,259,مفاهیم پایه,https://qpedia.ir/quantum-entanglement-explained/,DefinedTerm
10,همدوسی کوانتومی,همدوسی کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,همدوسی کوانتومی چیست؟ حفظ رابطه فازی مشخص میان بخش‌های مختلف یک حالت کوانتومی است. مثال و کاربرد ساده را در واژه‌نامهٔ Qpedia بخوانید.,4,243,مفاهیم پایه,https://qpedia.ir/coherence/,DefinedTerm
11,واهمدوسی,واهمدوسی چیست؟ تعریف روان، مثال روزمره و کاربردهای واقعی,واهمدوسی چیست؟ پخش‌شدن اطلاعات فاز سامانه در محیط است که مشاهده تداخل کوانتومی را دشوار می‌کند. مثال روزمره و مرز تمثیل را ببینید.,4,255,مفاهیم پایه,https://qpedia.ir/decoherence/,DefinedTerm
12,اندازه‌گیری کوانتومی,اندازه‌گیری کوانتومی چیست؟ تعریف ساده، مثال و کاربرد,اندازه‌گیری کوانتومی چیست؟ برهم‌کنشی فیزیکی است که اطلاعاتی درباره یک مشاهده‌پذیر کوانتومی در دستگاه ثبت می‌کند. مثال آن را ببینید.,4,258,مفاهیم پایه,https://qpedia.ir/quantum-measurement/,DefinedTerm
13,فروپاشی تابع موج,فروپاشی تابع موج چیست؟ تعریف ساده، مثال و کاربردهای مهم,فروپاشی تابع موج چیست؟ نامی برای به‌روزرسانی حالت کوانتومی پس از ثبت یک نتیجه اندازه‌گیری است. مثال روزمره و مرز تمثیل را ببینید.,4,265,مفاهیم پایه,https://qpedia.ir/quantum-measurement/,DefinedTerm
14,ناظر کوانتومی,ناظر کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,ناظر کوانتومی چیست؟ در فیزیک معمولاً سامانه یا دستگاهی است که با سامانه کوانتومی برهم‌کنش و اطلاعاتی را ثبت می‌کند. مثال آن را ببینید.,4,256,مفاهیم پایه,https://qpedia.ir/observer/,DefinedTerm
15,اصل عدم قطعیت,اصل عدم قطعیت چیست؟ تعریف ساده، مثال و کاربردهای مهم,اصل عدم قطعیت چیست؟ محدودیتی بنیادی بر پراکندگی هم‌زمان بعضی زوج کمیت‌های ناسازگار، مانند مکان و تکانه، است. مثال آن را ببینید.,4,266,مفاهیم پایه,https://qpedia.ir/heisenberg-uncertainty-principle/,DefinedTerm
16,دوگانگی موج و ذره,دوگانگی موج و ذره چیست؟ تعریف ساده، مثال و کاربردهای مهم,دوگانگی موج و ذره چیست؟ بیان می‌کند اشیای کوانتومی بسته به آزمایش می‌توانند ویژگی‌های موجی یا ذره‌ای نشان دهند. مثال آن را ببینید.,4,270,مفاهیم پایه,https://qpedia.ir/wave-particle-duality/,DefinedTerm
17,تداخل کوانتومی,تداخل کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,تداخل کوانتومی چیست؟ ترکیب دامنه‌های احتمال است که می‌تواند احتمال بعضی نتیجه‌ها را تقویت یا تضعیف کند. مثال آن را ببینید.,4,265,مفاهیم پایه,https://qpedia.ir/double-slit-experiment/,DefinedTerm
18,تونل‌زنی کوانتومی,تونل‌زنی کوانتومی چیست؟ تعریف ساده، مثال و کاربردهای مهم,تونل‌زنی کوانتومی چیست؟ امکان عبور حالت کوانتومی از سدی است که عبور کلاسیکی از آن با انرژی موجود ممکن نیست. مثال آن را ببینید.,4,259,مفاهیم پایه,https://qpedia.ir/quantum-tunneling/,DefinedTerm
